Date,Year,Event,Event description,Period_ID,SongID,EventID
1944-08-19 00:00:00.000,"- 1944","The liberation of Paris military battle","In mid-August 1944, the Allied offensive in France had broken through the German lines in Normandy. Local resistance groups emerged from the underground, supporting the Allies with important intelligence and harassing the retreating German soldiers.",7,99,82
1940-10-28 00:00:00.000,"- 1940","Start of the Greco-Italian war","The Greco-Italian war took place from October 28, 1940, until April 23, 1941. Prior to it kicking off, the Greeks were given an ultimatum – to permit Italy’s occupation of certain strategic points or face war. They chose to stand their ground and fight heroically.",7,97,87
1940-10-28 00:00:00.000,"- 1940","Start of the Greco-Italian war","The Greco-Italian war took place from October 28, 1940, until April 23, 1941. Prior to it kicking off, the Greeks were given an ultimatum – to permit Italy’s occupation of certain strategic points or face war. They chose to stand their ground and fight heroically.",7,107,87
1944-12-27 00:00:00.000,"- 1944","End of the Siege of Bastogne","Men from the US 101st Airborne Division (the Screaming Eagles) were sent to defend Bastogne from approaching Nazi troops. With the town surrounded and cut off from supplies, they fought for seven days in bitter cold before reinforcements arrived.",7,100,89
1938-11-09 00:00:00.000,"- 1938","Kristallnacht – The Night of Broken Glass","Kristallnacht, also known as the ‘Night of Broken Glass’, was a pogrom against Jewish communities in Germany. 1,000 synagogues and prayer rooms were vandalised or set on fire, while 7,500 shops were destroyed and looted. Jewish neighbourhoods were attacked and 90 Jews were killed.",7,101,90
1905-12-17 00:00:00.000,"- 1905","Simo Häyhä born","Simo Häyhä was arguably the most prolific sniper of all time, earning the nickname “White Death” following up to 505 kills in the Finnish Winter War. Although seriously wounded just before the war ended, he went on to become a hunter and lived to the age of 96.",7,105,91
1905-12-17 00:00:00.000,"- 1905","Simo Häyhä born","Simo Häyhä was arguably the most prolific sniper of all time, earning the nickname “White Death” following up to 505 kills in the Finnish Winter War. Although seriously wounded just before the war ended, he went on to become a hunter and lived to the age of 96.",7,109,91
1940-02-10 00:00:00.000,"- 1940","Erwin Rommel assumes command of 7th Panzer Division","The 7th Panzer Division of the German Army earned its nickname “Ghost Division” for its skilful surprise attacks during the WWII invasion of Belgium and France. Erwin “Desert Fox” Rommel was one of its most successful and famous commanders.",7,111,11
1972-04-10 00:00:00.000,"- 1972","Ancient texts discovered in China","The ancient Yinqeshan Han tombs were accidentally discovered by Chinese construction workers. They contained a treasure trove of well-preserved 2,000-year-old bamboo writing tablets – including chapters from Sun Tzu’s 'The Art of War'. The Art of War consists of 13 chapters, each of which highlights a different aspect of warfare.",1,112,4
1939-09-07 00:00:00.000,"- 1939","Battle of Wizna starts","In the early days of the Nazi invasion of Poland – the event that started WWII – a few hundred brave Poles mounted a three-day defence against more than 40,000 Germans, a battle that has drawn comparisons to the famous last stand of the Spartans.",7,113,85
1942-05-30 00:00:00.000,"- 1942","Partisan Movement Central HQ founded","The Soviet Partisan movement sprang up after Germany’s invasion of the USSR. Up to 6,000 resistance groups carried out activity ranging from guerrilla attacks to delivering anti-Nazi propaganda. A unified HQ for the movement was launched in 1942.",7,114,58
1915-02-17 00:00:00.000,"- 1915","Start of the Gallipoli Campaign","The Gallipoli campaign was a long and controversial attempt to reach and occupy Constantinople (Istanbul) during WWI. The doomed campaign cost 44,000 allied troops their lives, more than a quarter of whom were from Australia and New Zealand.",5,116,16
1939-11-30 00:00:00.000,"- 1939","Start of the Finnish Winter War","This conflict saw a tiny but adaptable Finnish Army hold off a mighty Soviet force for several weeks before efforts were redoubled and they were overrun. The resulting peace treaty would see Finland forced to cede large amounts of land to their invaders.",7,117,86
1943-07-05 00:00:00.000,"- 1943","The Battle of Kursk","In 1943 during World War II, one of the largest tank battles in history resulted in the Soviet Union gaining the advantage on the Eastern Front, which it would hold until the end of the war.",7,118,71
1943-07-27 00:00:00.000,"- 1943","730 British bombers target Hamburg","On July 24, 1943, Operation Gomorrah began. On the evening of July 27, a fleet of 730 British bombers appeared over the city unleashing over 2,300 tons of bombs on Hamburg. Major fires broke out all over the city causing a lethal storm of fire. Dresden was the next target in 1945.",7,120,76
1929-07-28 00:00:00.000,"- 1929","Official opening of restored Gokstad mound","The discovery of the Gokstad burial mound in Norway granted a glimpse into the world of Vikings. Following its excavation in 1880, a ship buried 1,000 years earlier was found, and next to a large pile of shields, swords and jewellery lay a man who was the embodiment of a Viking. In July 1929, an official opening ceremony was held which was attended by King Haakon VII and thousands of spectators.",2,122,12
