Concert,Date,Venue,Location,Index
"Sabaton",2021-01-28 00:00:00.000,"Rivierahallen Pite Havsbad","Piteå, Sweden",1682
"Sabaton",2021-01-29 00:00:00.000,"Kulturens Hus","Luleå, Sweden",1681
"Sabaton",2021-01-30 00:00:00.000,"Folkparken","Skellefteå, Sweden",1680
"Sabaton",,"Kalmar Salen","Kalmar, Sweden",1679
"Sabaton",2021-02-19 00:00:00.000,"Quality Hotel Galaxen","Borlänge, Sweden",1678
"Sabaton",2021-02-20 00:00:00.000,"Magasinet","Falun, Dalarna, Sweden",1677
"Sabaton",2021-02-22 00:00:00.000,"Avenyn","Sundsvall, Sweden",1676
"Sabaton",2021-02-24 00:00:00.000,"Gummifabriken","Värnamo, Sweden",1675
"Sabaton",2021-02-27 00:00:00.000,"Valhall","Skövde, Västra Götaland, Sweden",1674
"Sabaton",2021-03-24 00:00:00.000,"Dalecarlia Music Awards","Falun, Dalarna, Sweden",1673
"Sabaton",2020-03-06 00:00:00.000,"Yuzhno-Sakhalinsk","Yuzhno-Sakhalinsk, Russian Federation",1671
"Sabaton",2020-03-07 00:00:00.000,"Vladivostok","Vladivostok, Russian Federation",1670
"Sabaton",2020-03-08 00:00:00.000,"Khabarovsk","Khabarovsk, Russian Federation",1669
"Sabaton",2020-03-10 00:00:00.000,"Wild Horse / Dikaya Loshad' / Дикая лошадь","Irkutsk, Russian Federation",1668
"Sabaton",2020-03-16 00:00:00.000,"Angar Night Club","Omsk, Russian Federation",1664
"Sabaton",2020-03-17 00:00:00.000,"Tyumen","Tyumen, Russian Federation",1663
"Sabaton",2020-08-01 00:00:00.000,"XR Stage","Hamburg, Hamburg, Germany",1659
